"Date","Kenya, WHOLESALE, Nakuru Wakulima, Maize (white), KES/Kg"
"01/01/2024","45.28"
"12/01/2023","44.31"
"11/01/2023","44.44"
"10/01/2023","47.74"
"09/01/2023","48.61"
"08/01/2023","54.78"
"07/01/2023","66.82"
"06/01/2023","71.94"
"05/01/2023","69.3"
"04/01/2023","64.95"
"03/01/2023","64.47"
"02/01/2023","59.44"
"01/01/2023","52.46"
"12/01/2022","59.52"
"11/01/2022","57.54"
"10/01/2022","60.91"
"09/01/2022","63.33"
"08/01/2022","63.49"
"07/01/2022","66.3"
"06/01/2022","50"
"05/01/2022","47.34"
"04/01/2022","43.98"
"03/01/2022","35.32"
"02/01/2022","35"
"01/01/2022","35.97"
"12/01/2021","32.78"
"11/01/2021","28.89"
"10/01/2021","28.89"
"09/01/2021","27.94"
"08/01/2021","30.49"
"07/01/2021",""
"06/01/2021",""
"05/01/2021",""
"04/01/2021",""
"03/01/2021",""
"02/01/2021",""
"01/01/2021",""
"12/01/2020",""
"11/01/2020",""
"10/01/2020",""
"09/01/2020",""
"08/01/2020",""
"07/01/2020",""
"06/01/2020",""
"05/01/2020",""
"04/01/2020",""
"03/01/2020",""
"02/01/2020",""
"01/01/2020",""
"12/01/2019",""
"11/01/2019",""
"10/01/2019",""
"09/01/2019",""
"08/01/2019",""
"07/01/2019",""
"06/01/2019",""
"05/01/2019",""
"04/01/2019",""
"03/01/2019",""
"02/01/2019",""
"01/01/2019",""
"12/01/2018",""
"11/01/2018",""
"10/01/2018",""
"09/01/2018",""
"08/01/2018",""
"07/01/2018",""
"06/01/2018",""
"05/01/2018",""
"04/01/2018",""
"03/01/2018",""
"02/01/2018",""
"01/01/2018",""
"12/01/2017",""
"11/01/2017",""
"10/01/2017",""
"09/01/2017",""
"08/01/2017",""
"07/01/2017",""
"06/01/2017",""
"05/01/2017",""
"04/01/2017",""
"03/01/2017",""
"02/01/2017",""
"01/01/2017",""
"12/01/2016",""
"11/01/2016",""
"10/01/2016",""
"09/01/2016",""
"08/01/2016",""
"07/01/2016",""
"06/01/2016",""
"05/01/2016",""
"04/01/2016",""
"03/01/2016",""
"02/01/2016",""
"01/01/2016",""
"12/01/2015",""
"11/01/2015",""
"10/01/2015",""
"09/01/2015",""
"08/01/2015",""
"07/01/2015",""
"06/01/2015",""
"05/01/2015",""
"04/01/2015",""
"03/01/2015",""
"02/01/2015",""
"01/01/2015",""
"12/01/2014",""
"11/01/2014",""
"10/01/2014",""
"09/01/2014",""
"08/01/2014",""
"07/01/2014",""
"06/01/2014",""
"05/01/2014",""
"04/01/2014",""
"03/01/2014",""
"02/01/2014",""
"01/01/2014",""
"12/01/2013","27.78"
"11/01/2013","29.91"
"10/01/2013","30.56"
"09/01/2013","29.63"
"08/01/2013","27.78"
"07/01/2013","25.17"
"06/01/2013","27.02"
"05/01/2013","28.89"
"04/01/2013","28.89"
"03/01/2013","28.89"
"02/01/2013","28.89"
"01/01/2013","28.28"
"12/01/2012",""
"11/01/2012",""
"10/01/2012",""
"09/01/2012",""
"08/01/2012",""
"07/01/2012",""
"06/01/2012",""
"05/01/2012",""
"04/01/2012",""
"03/01/2012",""
"02/01/2012",""
"01/01/2012",""
"12/01/2011",""
"11/01/2011","43.34"
"10/01/2011",""
"09/01/2011","33.79"
"08/01/2011","36.67"
"07/01/2011","45.62"
"06/01/2011",""
"05/01/2011","33.33"
"04/01/2011","25.83"
"03/01/2011","21.57"
"02/01/2011","18.61"
"01/01/2011","15.34"
"12/01/2010",""
"11/01/2010",""
"10/01/2010",""
"09/01/2010",""
"08/01/2010",""
"07/01/2010",""
"06/01/2010",""
"05/01/2010",""
"04/01/2010",""
"03/01/2010",""
"02/01/2010",""
"01/01/2010",""
"12/01/2009","24.7"
"11/01/2009","25.25"
"10/01/2009","25.3"
"09/01/2009","25.05"
"08/01/2009","28.46"
"07/01/2009","29.56"
"06/01/2009","31.36"
"05/01/2009",""
"04/01/2009","29.72"
"03/01/2009","27.17"
"02/01/2009","25.89"
"01/01/2009","22.98"
"12/01/2008","24.44"
"11/01/2008",""
"10/01/2008",""
"09/01/2008","23.33"
"08/01/2008","23.2"
"07/01/2008","22.04"
"06/01/2008","21.44"
"05/01/2008","20.44"
"04/01/2008","16.78"
"03/01/2008",""
"02/01/2008",""
"01/01/2008","12.71"
"12/01/2007",""
"11/01/2007",""
"10/01/2007",""
"09/01/2007",""
"08/01/2007",""
"07/01/2007",""
"06/01/2007",""
"05/01/2007",""
"04/01/2007",""
"03/01/2007",""
"02/01/2007",""
"01/01/2007",""
"12/01/2006",""
"11/01/2006",""
"10/01/2006",""
"09/01/2006",""
"08/01/2006",""
"07/01/2006",""
"06/01/2006",""
"05/01/2006",""
"04/01/2006",""
"03/01/2006",""
"02/01/2006",""
"01/01/2006",""
"12/01/2005",""
"11/01/2005",""
"10/01/2005","13.33"
"09/01/2005","15.4"
"08/01/2005","15.76"
"07/01/2005","15.56"
"06/01/2005","16.92"
"05/01/2005","16.51"
"04/01/2005","15.89"
"03/01/2005","16.27"
"02/01/2005","16.88"